name,description,price,discount,startDate
Playstation 5,Playstation 5 Console 825GB Standard,500.0,0.05,2022-01-24
Playstation 5,Playstation 5 Console 825GB Digital Edition,400.0,0.03,2022-01-24
Dualsense PS5 Controller White,PlayStation 5 DualSense Wireless Controller - Standard,70.0,0.1,2021-12-23
Dualsense PS5 Controller Black,PlayStation DualSense Wireless Controller – Midnight Black,70.0,0.1,2021-12-23
Dualsense PS5 Controller Red,PlayStation DualSense Wireless Controller – Cosmic Red,70.0,0.1,2021-12-23
Demon's Souls - PS5,A PlayStation 5 exclusive game by FromSoftware,70.0,0.2,2021-12-23
Ratchet & Clank: Rift Apart - PS5,A PlayStation 5 exclusive game by Insomniac,70.0,0.29,2022-02-15
Headset PULSE 3D,Sony PULSE 3D Wireless Headset,99.0,0.15,2022-01-29
JBL Quantum 100,Headset Gamer Over Ear JBLQUANTUM100BLK - Black,100.0,0.3,2021-08-02
Wireless Keyboard and Mouse MK270,Logitech MK270 Wireless Keyboard and Mouse Combo,50.0,0.13,2020-09-30
K10 Gaming Keyboard,NPET K10 Gaming Keyboard - USB Wired - Mechanical,40.0,0.3,2020-10-20
G203 Gaming Mouse,Logitech G203 Wired Gaming Mouse LIGHTSYNC RGB - 8000 DPI,30.0,0.08,2021-03-25
"TV OLED 4K 55""","SAMSUNG OLED TV 4K 55"" 120Hz AndroidTV HDL",300,0.05,2022-01-03
"LG TV QLED 55"" 4K","LG TV QLED 4K 55"" AndroidTV 60Hz HDL",200,0.10,2022-02-18
Notebook Lenovo I5 8GB,Lenovo Ideapad 8GB RAM I5 SSD 256GB,350,0.20,2021-05-28
